gen 01 01:29:18|5[info]01/01/2015 01:29:18 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:29:29|5[info]01/01/2015 01:29:29 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:29:52|5[info]01/01/2015 01:29:52 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:29:53|5[info]01/01/2015 01:29:53 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:29:56|5[info]01/01/2015 01:29:56 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:30:24|5[info]01/01/2015 01:30:24 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:30:37|5[info]01/01/2015 01:30:37 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:30:40|5[info]01/01/2015 01:30:40 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:30:52|5[info]01/01/2015 01:30:52 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:31:02|5[info]01/01/2015 01:31:02 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:31:20|5[info]01/01/2015 01:31:20 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:31:34|5[info]01/01/2015 01:31:34 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 16][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:31:37|5[info]01/01/2015 01:31:37 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:32:07|5[info]01/01/2015 01:32:07 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:32:09|5[info]01/01/2015 01:32:09 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:32:12|5[info]01/01/2015 01:32:12 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 41][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:07:06|5[info]01/01/2015 12:07:06 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:07:09|5[info]01/01/2015 12:07:09 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:07:12|5[info]01/01/2015 12:07:12 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:07:25|5[info]01/01/2015 12:07:25 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:08:11|5[info]01/01/2015 12:08:11 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:08:28|5[info]01/01/2015 12:08:28 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:08:39|5[info]01/01/2015 12:08:39 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:08:41|5[info]01/01/2015 12:08:41 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:08:45|5[info]01/01/2015 12:08:45 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:08:47|5[info]01/01/2015 12:08:47 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:09:16|5[info]01/01/2015 12:09:16 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:09:17|5[info]01/01/2015 12:09:17 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:09:23|5[info]01/01/2015 12:09:23 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:09:57|5[info]01/01/2015 12:09:57 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:10:35|5[info]01/01/2015 12:10:35 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:15:09|5[info]01/01/2015 12:15:09 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:15:27|5[info]01/01/2015 12:15:27 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:17:19|5[info]01/01/2015 12:17:19 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:17:22|5[info]01/01/2015 12:17:22 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:17:25|5[info]01/01/2015 12:17:25 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:17:27|5[info]01/01/2015 12:17:27 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 38][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:18:06|5[info]01/01/2015 12:18:06 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:19:21|5[info]01/01/2015 12:19:21 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:19:28|5[info]01/01/2015 12:19:28 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 16 confezioni o un multiplo di 8][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:19:51|5[info]01/01/2015 12:19:51 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 16 confezioni o un multiplo di 8][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:19:56|5[info]01/01/2015 12:19:56 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 12 confezioni o un multiplo di 6][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
