nov 23 01:04:10|5[info]23/11/2014 01:04:10 - [UTENTE = ][REMOTE IP = 79.6.194.13][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 01:04:12|5[info]23/11/2014 01:04:12 - [UTENTE = ][REMOTE IP = 79.6.194.13][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 01:04:15|5[info]23/11/2014 01:04:15 - [UTENTE = ][REMOTE IP = 79.6.194.13][act = ProductInfo][id_giacenza = 13][breadcrumb1 = ][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 01:04:17|5[info]23/11/2014 01:04:17 - [UTENTE = ][REMOTE IP = 79.6.194.13][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 08:42:42|5[info]23/11/2014 08:42:42 - [UTENTE = ][REMOTE IP = 91.121.92.177][REQUEST METHOD = GET][USER AGENT = Mozilla/4.0 (compatible; MSIE 6.0; Windows NT)]
nov 23 14:58:15|5[info]23/11/2014 14:58:15 - [UTENTE = ][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 14:58:16|5[info]23/11/2014 14:58:16 - [UTENTE = ][REMOTE IP = 95.232.195.132][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 22:06:18|5[info]23/11/2014 22:06:18 - [UTENTE = ][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 22:06:22|5[info]23/11/2014 22:06:22 - [UTENTE = ][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 23 22:06:24|5[info]23/11/2014 22:06:24 - [UTENTE = ][REMOTE IP = 95.232.195.132][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
