gen 24 05:20:10|5[info]24/01/2015 05:20:10 - [UTENTE = ][REMOTE IP = 66.249.78.26][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 07:19:02|5[info]24/01/2015 07:19:02 - [UTENTE = ][REMOTE IP = 66.249.78.12][act = Search][gm = 37][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 07:20:17|5[info]24/01/2015 07:20:17 - [UTENTE = ][REMOTE IP = 66.249.78.48][act = ProductInfo][id_giacenza = 49][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 07:27:34|5[info]24/01/2015 07:27:34 - [UTENTE = ][REMOTE IP = 66.249.78.12][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 07:46:26|5[info]24/01/2015 07:46:26 - [UTENTE = ][REMOTE IP = 66.249.78.19][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_1 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.22.7 (compatible; Mediapartners-Google/2.1; +http://www.google.com/bot.html)]
gen 24 07:48:22|5[info]24/01/2015 07:48:22 - [UTENTE = ][REMOTE IP = 66.249.78.19][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 08:26:14|5[info]24/01/2015 08:26:14 - [UTENTE = ][REMOTE IP = 66.249.78.26][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 08:33:42|5[info]24/01/2015 08:33:42 - [UTENTE = ][REMOTE IP = 66.249.78.26][act = Search][gm = 15][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 09:39:20|5[info]24/01/2015 09:39:20 - [UTENTE = ][REMOTE IP = 66.249.78.19][act = Search][gm = 35][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 09:51:52|5[info]24/01/2015 09:51:52 - [UTENTE = ][REMOTE IP = 66.249.64.119][act = ProductInfo][id_giacenza = 57][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
