Nov 25 00:09:50|5[info]25/11/2014 00:09:50 - [UTENTE = ][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:09:56|5[info]25/11/2014 00:09:56 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:00|5[info]25/11/2014 00:10:00 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:08|5[info]25/11/2014 00:10:08 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = CaricaMagazzino][id_content = 22][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:27|5[info]25/11/2014 00:10:27 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaFornitori][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:30|5[info]25/11/2014 00:10:30 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:33|5[info]25/11/2014 00:10:33 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = CaricaMagazzino][id_content = 22][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:50|5[info]25/11/2014 00:10:50 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:55|5[info]25/11/2014 00:10:55 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaCategorie][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:10:58|5[info]25/11/2014 00:10:58 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaFornitori][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:11:00|5[info]25/11/2014 00:11:00 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:30:55|5[info]25/11/2014 00:30:55 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:30:56|5[info]25/11/2014 00:30:56 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = CaricaMagazzino][id_content = 22][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:15|5[info]25/11/2014 00:31:15 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:29|5[info]25/11/2014 00:31:29 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:32|5[info]25/11/2014 00:31:32 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:34|5[info]25/11/2014 00:31:34 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:40|5[info]25/11/2014 00:31:40 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaFornitori][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:43|5[info]25/11/2014 00:31:43 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:46|5[info]25/11/2014 00:31:46 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:31:50|5[info]25/11/2014 00:31:50 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:37:42|5[info]25/11/2014 00:37:42 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = CaricaMagazzino][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:37:45|5[info]25/11/2014 00:37:45 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:37:47|5[info]25/11/2014 00:37:47 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaFornitori][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:37:51|5[info]25/11/2014 00:37:51 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:37:55|5[info]25/11/2014 00:37:55 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:38:00|5[info]25/11/2014 00:38:00 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaCategorie][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:38:07|5[info]25/11/2014 00:38:07 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaCategorie][rowForPage = 20][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:38:12|5[info]25/11/2014 00:38:12 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = CaricaCategoria][edit = 1][id = 10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:38:18|5[info]25/11/2014 00:38:18 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:48:09|5[info]25/11/2014 00:48:09 - [UTENTE = ][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:52:23|5[info]25/11/2014 00:52:23 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:52:30|5[info]25/11/2014 00:52:30 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 00:52:34|5[info]25/11/2014 00:52:34 - [UTENTE = paolo][REMOTE IP = 95.232.195.132][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:35:53|5[info]25/11/2014 08:35:53 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:35:59|5[info]25/11/2014 08:35:59 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:36:02|5[info]25/11/2014 08:36:02 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:36:27|5[info]25/11/2014 08:36:27 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaMagazzino][id_content = 16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:36:36|5[info]25/11/2014 08:36:36 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaMagazzino][id_giacenza = 16][id_content = 16][codice = ERIC12DA][vbn = ][nome = ERICA DARLEYENSIS VASO 12][descrizione = Maggioranza rosso, ottima qualità, fiorita.][nome_en = ][descrizione_en = ][prezzo = 1.75][prezzo_acquisto = 1.15][visibile = on][qta_minima = 6][qta_pianale = 36][qta_carrello = 324][qta_min_ordine = 18][id_produttore = ][id_fornitore = 400][id_categoria = 16][iva = 22][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:36:39|5[info]25/11/2014 08:36:39 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:36:51|5[info]25/11/2014 08:36:51 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:36:55|5[info]25/11/2014 08:36:55 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:37:07|5[info]25/11/2014 08:37:07 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaCategoria][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:37:52|5[info]25/11/2014 08:37:52 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaCategoria][id = 30][edit = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:38:00|5[info]25/11/2014 08:38:00 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 25 08:38:10|5[info]25/11/2014 08:38:10 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaCategoria][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
